,0
Activin A,20.333333333333332
ADAM10,17.40625
ADAM17 (TACE),38.385416666666664
ADAM28,40.197916666666664
ADAM9,34.4375
ADAM-TS 1,38.666666666666664
ADAM-TS 5,41.729166666666664
Adiponectin,12.583333333333334
AITRL (GITR Ligand),45.958333333333336
ANGPT1,20.28125
ANGPTL3,32.53125
ANGPTL4,19.489583333333332
APP,34.4375
APRIL,48.239583333333336
AREG,40.739583333333336
BAFF,18.125
BCMA,13.5625
BDNF,36.260416666666664
BMP2,43.229166666666664
BMP3,46.052083333333336
BMP4,42.489583333333336
BMP6,45.34375
BMP7,25.552083333333332
BMP9,30.052083333333332
Brevican,16.46875
C5/C5a,41.40625
Calbindin,36.4375
CCL1,25.447916666666668
CCL11,47.916666666666664
CCL13,37.104166666666664
CCL14,44.09375
CCL15,27.916666666666668
CCL16,34.697916666666664
CCL17,17.09375
CCL18,44.052083333333336
CCL19,24.3125
CCL2,31.739583333333332
CCL20,42.239583333333336
CCL21,29.770833333333332
CCL23,44.5
CCL24,38.354166666666664
CCL25,20.375
CCL27,23.572916666666668
CCL28,20.71875
CCL3,24.53125
CCL4,48.677083333333336
CCL5,28.5625
CCL7,25.552083333333332
CD14,33.708333333333336
CD163,34.427083333333336
CD209 antigen,19.208333333333332
CD276 (B7-H3),38.114583333333336
CD27L,15.53125
CD30,48.427083333333336
CD40L,31.604166666666668
CD80 (B7-1),12.4375
CD86 (B7-2),31.59375
CHI3L1,24.0625
CLC,44.145833333333336
CNTF,15.583333333333334
CRP,29.40625
CX3CL1,37.25
CXCL1,15.333333333333334
CXCL10,23.614583333333332
CXCL11,14.541666666666666
CXCL12 (alpha),39.989583333333336
CXCL12 (beta),25.09375
CXCL13,19.0625
CXCL14,34.21875
CXCL16,17.71875
CXCL17,17.364583333333332
CXCL3,25.65625
CXCL4,31.21875
CXCL5,45.510416666666664
CXCL6,38.322916666666664
CXCL7,15.552083333333334
CXCL9,14.375
Cytochrome C,14.822916666666666
Decorin,48.895833333333336
DPP4 (CD26),35.291666666666664
DR3,14.364583333333334
DR4 (TRAIL R1),44.541666666666664
DR6,26.385416666666668
ECM1,26.520833333333332
EGF,31.427083333333332
EGFR,32.645833333333336
ELA2,16.583333333333332
EMMPRIN,13.583333333333334
Endoglin (CD105),46.0625
E-Selectin (CD62E),32.708333333333336
FAS,29.541666666666668
FAS-L,18.333333333333332
Fetuin-B,13.3125
FGF-1,27.239583333333332
FGF-19,20.46875
FGF-2,25.520833333333332
FGF-21,35.21875
FGF-4,29.572916666666668
FGF-6,19.770833333333332
FGF-7 (KGF),32.875
FGF-9,48.541666666666664
FGFR3 (IIIc),13.71875
Fibulin-3,36.5625
Ficolin-2,30.385416666666668
FLRG (FSTL3),11.822916666666666
Flt-3,15.125
Flt-3 Ligand,39.625
Galectin-1,17.520833333333332
Galectin-3,18.5
Galectin-9,16.604166666666668
GAS6,31.65625
G-CSF,31.427083333333332
GDF-11 (BMP-11),33.65625
GDF-15 (MIC-1),18.6875
GDNF,31.104166666666668
GH1,35.927083333333336
GITR,25.53125
GM-CSF,18.666666666666668
Granzyme B,12.604166666666666
HGF,40.927083333333336
HGF R (c-MET),18.552083333333332
HVEM,32.364583333333336
ICAM-1,48.510416666666664
ICAM-2,15.447916666666666
ICOSL (B7-H2),13.958333333333334
IFN alpha 2,45.291666666666664
IFN beta,46.427083333333336
IFN-epsilon,20.34375
IFN gamma,41.291666666666664
IGF-1,14.427083333333334
IGFBP-3,19.46875
IGFBP-6,38.59375
IL-10,43.114583333333336
IL-10 RB,21.65625
IL-11,13.5625
IL-12 p35,13.333333333333334
IL-12 p40,42.770833333333336
IL-12 p70,29.697916666666668
IL-12 RB,16.4375
IL-13,32.802083333333336
IL-15,47.375
IL-15/IL-15RA complex,29.291666666666668
IL-16,47.520833333333336
IL-17A,30.322916666666668
IL-17B,44.385416666666664
IL-17C,28.645833333333332
IL-17D,25.6875
IL-17E (IL-25),37.625
IL-17F,11.59375
IL-18,27.65625
IL-1 alpha,44.28125
IL-1 beta,31.5
IL-1 RA,37.354166666666664
IL-1 RAcP,17.229166666666668
IL-1 RA/RN,47.354166666666664
IL-1 RB,23.947916666666668
IL-2,45.34375
IL-21,39.979166666666664
IL-22,23.59375
IL-22 BP,16.59375
IL-23,37.510416666666664
IL-24,12.572916666666666
IL-27,24.84375
IL-28A,41.989583333333336
IL-29,35.614583333333336
IL-2 RA (CD25),45.354166666666664
IL-3,45.979166666666664
IL-31,30.177083333333332
IL-32,30.145833333333332
IL-33,47.864583333333336
IL-33 R (ST2),18.729166666666668
IL-34,18.833333333333332
IL-35,40.020833333333336
IL-36 alpha,30.364583333333332
IL-36 R,17.21875
IL-4,40.614583333333336
IL-4 RA,43.322916666666664
IL-5,22.354166666666668
IL-6,13.40625
IL-6 RA (gp80),23.8125
IL-7,13.78125
IL-8,32.489583333333336
IL-9,41.604166666666664
Kit (CD117),39.604166666666664
Leptin,15.270833333333334
LIF,33.0
LOX1 (OLR1),22.166666666666668
L-selectin (CD62L),35.177083333333336
MBP-C,29.46875
M-CSF,22.010416666666668
M-CSF R (CD115),13.447916666666666
Mesothelin,23.802083333333332
MIF,42.9375
MMP-1,43.65625
MMP-10,22.5
MMP-12,42.166666666666664
MMP-13,44.958333333333336
MMP-3,22.958333333333332
MMP-7,47.635416666666664
MMP-9,25.1875
NF-L,38.125
NGAL (lipocalin-2),24.677083333333332
NGF beta,27.572916666666668
NRG1 beta 1,23.708333333333332
Oncostatin M (OSM),29.979166666666668
Osteoactivin (GPNMB),39.979166666666664
Osteopontin (OPN),21.677083333333332
OX40,16.354166666666668
PCOLCE,29.59375
PCSK9,49.052083333333336
PD-1,15.666666666666666
PDGF-BB,37.239583333333336
PD-L1 (B7-H1),22.541666666666668
PD-L2,36.447916666666664
PGLYRP1 (PGRP-S),43.208333333333336
PlGF,28.3125
Prolargin,24.354166666666668
PTX3,21.46875
Resistin,23.635416666666668
SAA,27.322916666666668
SCF,17.583333333333332
SLAMF1 (CD150),25.208333333333332
TACI,31.1875
TGF-beta 1 (LAP),30.197916666666668
TGF-beta 1 (total),13.46875
TGF-beta 2,42.479166666666664
TGF-beta 3,11.510416666666666
TGF-beta R2,44.791666666666664
TGF-beta R3,27.177083333333332
TGFBI (beta ig-h3),13.5625
Thrombomodulin,47.458333333333336
Tie-2,47.677083333333336
TIMP1,38.625
TIMP2,37.833333333333336
TIMP4,44.447916666666664
Tissue Factor (TF),15.666666666666666
TLR2,38.427083333333336
TNF alpha,31.3125
TNF R1,48.75
TNF R2,23.520833333333332
TNF R3,45.479166666666664
TNFRSF9 (4-1BB),17.677083333333332
TPO,25.177083333333332
TRAIL,14.385416666666666
TREM1,40.0625
TREM2,27.572916666666668
TSLP,34.3125
TWEAK,40.625
TWEAK R (CD266),21.260416666666668
uPA,27.28125
uPA R,44.53125
VCAM-1,46.145833333333336
VEGF-A (165),34.583333333333336
VEGF-C,38.114583333333336
VEGF-D,13.427083333333334
VEGF R1,30.71875
VEGF R2 (Flk-1),14.666666666666666
VISTA,27.666666666666668
WIF-1,34.322916666666664
WISP-1 (CCN4),27.604166666666668
Wnt-3a,19.1875
Wnt-5a,30.354166666666668
XCL1 (Lymphotactin),28.083333333333332
